# Blacklist IP Spesifik - IP dari domain blacklist.txt
# Last updated: 2025-12-05 22:34:11 UTC
# Total entries: 280
# Format: <ip> # <source>
#
# PRIORITAS: Level 2 - Blacklist IP Spesifik
# IP dengan marker 'Berasal dari IP domain' akan di-update otomatis
# IP manual (tanpa marker) tidak akan dihapus otomatis
#
172.253.118.95 # Berasal dari IP domain firebasestorage.googleapis.com (URLhaus Malware Domains)
172.253.134.95 # Berasal dari IP domain firebasestorage.googleapis.com (URLhaus Malware Domains)
172.64.35.40 # Berasal dari IP domain onskoplaymarket.life (URLhaus Malware Domains)
172.66.44.115 # Berasal dari IP domain hayfrp.pages.dev (URLhaus Malware Domains)
172.66.44.123 # Berasal dari IP domain mc-5lj.pages.dev (URLhaus Malware Domains)
172.66.44.124 # Berasal dari IP domain rika.pages.dev (URLhaus Malware Domains)
172.66.44.128 # Berasal dari IP domain qichao.pages.dev (URLhaus Malware Domains)
172.66.44.134 # Berasal dari IP domain lotteryminer-site.pages.dev (URLhaus Malware Domains)
172.66.44.141 # Berasal dari IP domain actedapk.pages.dev (URLhaus Malware Domains)
172.66.44.145 # Berasal dari IP domain marcuschan-org.pages.dev (URLhaus Malware Domains)
172.66.44.149 # Berasal dari IP domain piccomics-xyz.pages.dev (URLhaus Malware Domains)
172.66.44.153 # Berasal dari IP domain exo-tweaks.pages.dev (URLhaus Malware Domains)
172.66.44.156 # Berasal dari IP domain fb6390d5.infinityindians.pages.dev (URLhaus Malware Domains)
172.66.44.160 # Berasal dari IP domain mt526-github-io.pages.dev (URLhaus Malware Domains)
172.66.44.163 # Berasal dari IP domain hwrjz.pages.dev (URLhaus Malware Domains)
172.66.44.169 # Berasal dari IP domain a-gwo.pages.dev (URLhaus Malware Domains)
172.66.44.171 # Berasal dari IP domain libretv-16e.pages.dev (URLhaus Malware Domains)
172.66.44.173 # Berasal dari IP domain www-martiansoftware-com.pages.dev (URLhaus Malware Domains)
172.66.44.175 # Berasal dari IP domain genix-dk4.pages.dev (URLhaus Malware Domains)
